symbol,date,year,quarter,announcement_date,eps_actual,revenue_actual,beat,beat_rate_8q,beat_streak_4q,eps_estimate_30d_ago,eps_estimate_60d_ago,eps_estimate_7d_ago,eps_estimate_90d_ago,eps_estimate_analyst_count,eps_estimate_avg,eps_estimate_high,eps_estimate_low,eps_estimate_spread_pct,eps_revision_momentum_30d_60d,eps_revision_momentum_30d_90d,eps_revision_momentum_60d_90d,eps_revision_momentum_7d_30d,eps_revision_momentum_7d_60d,eps_revision_momentum_7d_90d,log_revenue_estimate_avg,net_revision_30d,net_revision_7d,prev_beat,prev_beat_lag2,prev_beat_lag3,prev_beat_lag4,prev_beat_lag5,prev_eps_surprise_pct,prev_grossProfitMargin,prev_grossProfitMargin_avg_4q,prev_grossProfitMargin_chg_1q,prev_grossProfitMargin_chg_4q,prev_netProfitMargin,prev_netProfitMargin_avg_4q,prev_netProfitMargin_chg_1q,prev_netProfitMargin_chg_4q,prev_operatingProfitMargin,prev_operatingProfitMargin_avg_4q,prev_operatingProfitMargin_chg_1q,prev_operatingProfitMargin_chg_4q,prev_revenue_surprise_pct,price_change_15d_pct,price_change_30d_pct,price_change_45d_pct,price_change_5d_pct,price_change_60d_pct,quarter_ef,quarter_cos,quarter_sin,revision_down_30d,revision_down_7d,revision_up_30d,revision_up_7d,stock_price_pre,straddle_price_pre,straddle_pct_pre,iv_call_pre,iv_put_pre,iv_avg_pre,stock_price_post,straddle_price_post,straddle_pct_post,iv_call_post,iv_put_post,iv_avg_post,iv_crush_pct,stock_price_pre_vf,stock_price_post_vf,actual_move_pct,realized_vol_5d,realized_vol_21d,realized_vol_63d,vol_of_vol,vol_expansion_ratio,historical_move_avg
NVDA,2017-07-31,2017,3,2017-11-09,0.03,2636000000.0,1.0,0.875,0.0,0.0172499999999999,0.0172499999999999,0.0172499999999999,0.017,23.0,0.0174999999999999,0.01975,0.0165,18.57142857142857,0.0,1.4705882352940984,1.4705882352940984,0.0,0.0,1.4705882352940984,21.345474107642993,4.0,1.0,1.0,1.0,1.0,1.0,1.0,6.779661016949159,0.4344982433424798,0.4337282333243411,0.0,0.0004115635636333,0.1207559817283348,0.1183998209589852,0.0,0.0023260101822694,0.1715257159836008,0.1700119466360823,0.0,0.0021125302489655,2.298850577648776,5.274794214956799,12.821603818596868,16.849155960956335,0.2252088529802647,27.77811774968156,3,-1.8369701987210294e-16,-1.0,1.0,0.0,4.0,1.0,212.5,15.725,7.4,1.01973,1.02949,1.02461,215.0,7.45,3.4651162790697674,0.30755,0.30755,0.30755,69.98370111554641,5.167477130889893,5.33992338180542,3.337145894360849,0.18288879546239142,0.19339265044038156,0.32664286385883046,0.06179695693106249,0.9456863797353652,
NVDA,2017-10-31,2017,4,2018-02-08,0.04,2911000000.0,1.0,0.875,1.0,0.0413225,0.04118,0.0413625,0.040895,42.0,0.00074425,0.00469815625,-0.0027282499999999,752.5379825653782,0.3460417678484623,1.045360068468021,0.6969067123120198,0.096799564401973,0.4431762991743616,1.1431715368627036,21.372152886550285,6.0,4.0,1.0,1.0,1.0,1.0,1.0,71.42857142857144,0.5838565022421525,0.4337282333243411,0.0,0.0004115635636333,0.2614349775784753,0.1183998209589852,0.0,0.0023260101822694,0.3085201793721973,0.1700119466360823,0.0,0.0021125302489655,41.48936177693115,-4.2317396661302435,3.063002498122976,17.171081340397233,-2.021239191534057,19.48400536281978,4,1.0,-2.4492935982947064e-16,0.0,0.0,6.0,4.0,225.0,18.825,8.366666666666667,1.15631,1.14656,1.151435,232.5,14.0,6.021505376344086,0.51243,0.58072,0.546575,52.53097222161911,5.656625747680664,5.737717151641846,1.4335649480510693,0.8441083173524063,0.44905916963943926,0.4016172192340531,0.05193478275311683,1.8797262686566714,3.337145894360849
NVDA,2018-04-30,2018,2,2018-08-16,0.05,3123000000.0,1.0,1.0,3.0,0.03625,0.03625,0.03625,0.0245,21.0,0.03625,0.0414999999999999,0.0245,46.89655172413792,0.0,47.959183673469376,47.959183673469376,0.0,0.0,47.959183673469376,21.77035148891705,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5274.538125629829,0.5952200303490136,0.5914321876467266,0.0,0.0004115635636333,0.3179059180576631,0.2990822712312671,0.0,0.0023260101822694,0.3395295902883156,0.3291931199829428,0.0,0.0021125302489655,52.13675216534028,5.807417332724842,4.383585288902352,9.362624263041038,1.6837282171035763,-2.3297783473153006,2,-1.0,1.2246467991473532e-16,1.0,0.0,1.0,0.0,262.5,15.55,5.923809523809524,0.82461,0.81486,0.819735,245.0,8.19,3.3428571428571425,0.2978,0.30755,0.302675,63.07648203382799,6.413183689117432,6.060194969177246,5.504110548699459,0.19907595521406446,0.1863328317579545,0.24117562044226623,0.05078768299990923,1.0683890398481315,2.385355421205959
NVDA,2018-07-31,2018,3,2018-11-15,0.05,3181000000.0,1.0,1.0,4.0,0.0414999999999999,0.0417499999999999,0.0414999999999999,0.0417499999999999,21.0,0.0414999999999999,0.04425,0.03725,16.867469879518072,-0.5988023952095813,-0.5988023952095813,0.0,0.0,-0.5988023952095813,-0.5988023952095813,21.896634309133855,4.0,3.0,1.0,1.0,1.0,1.0,1.0,37.93103448275863,0.6448394137823511,0.6047839941806327,0.0496193834333374,0.0609829115401986,0.3879014655441222,0.3212870698094809,0.069995547486459,0.1264664879656469,0.4038041783598378,0.3478458845771666,0.0642745880715222,0.0952839989876405,9.604519795029187,-2.862040454304299,-16.22480815954216,-29.830604969528352,-4.123095541369077,-28.66546013374477,3,-1.8369701987210294e-16,-1.0,1.0,0.0,4.0,3.0,200.0,20.925,10.4625,1.45875,1.43923,1.44899,165.0,9.325,5.651515151515151,0.51243,0.51243,0.51243,64.63536670370395,4.883848667144775,4.072474956512451,16.613408111735662,0.7690639636574659,0.7351620360953075,0.5423735465199427,0.09998078553957936,1.0461149051469292,3.4249404637037926
NVDA,2018-10-31,2018,4,2019-02-14,0.02,2205000000.0,1.0,1.0,4.0,0.0413225,0.04118,0.0413625,0.040895,42.0,0.0004695,0.0044234062499999,-0.0030029999999999,752.5379825653782,0.3460417678484623,1.045360068468021,0.6969067123120198,0.096799564401973,0.4431762991743616,1.1431715368627036,21.4494548251914,6.0,4.0,1.0,1.0,1.0,1.0,1.0,20.481927710843394,0.6324047390329811,0.6169210533783398,-0.0124346747493699,0.0371847086839675,0.3525456292026897,0.3440647327155345,-0.0353558363414324,0.0346397111450266,0.3704771053474223,0.3633351160709728,-0.0333270730124155,0.0309475150591067,-1.6042780616332304,16.17023820250271,1.6219293215789532,14.388349543903884,3.1787926452630004,4.390585076229111,4,1.0,-2.4492935982947064e-16,0.0,0.0,6.0,4.0,150.0,11.225,7.483333333333335,1.02949,1.02949,1.02949,157.5,6.5,4.1269841269841265,0.37584,0.37584,0.37584,63.49260313359042,3.7902004718780518,3.900773286819458,2.9173342086208143,0.41051734102265613,0.7108503001707585,0.7897505196699254,0.10460547240548129,0.5775018184898323,6.72205737571176
NVDA,2019-04-30,2019,2,2019-08-15,0.03,2579000000.0,1.0,1.0,4.0,0.01975,0.02,0.01975,0.02025,26.0,0.01975,0.02175,0.014,39.240506329113906,-1.250000000000001,-2.469135802469138,-1.234567901234569,0.0,-1.250000000000001,-2.469135802469138,21.595318126967975,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,4159.850905218317,0.6038981452373468,0.6212601108225064,0.0,-0.0409412685450043,0.3866708582206853,0.3784472027970456,0.0,-0.0012306073234368,0.3325998113800691,0.3598702266168495,0.0,-0.0712043669797686,6.666666666666667,-14.465662319478664,-10.282765583946212,-8.622032328428904,-2.6657099395249113,3.7541438047531552,2,-1.0,1.2246467991473532e-16,1.0,3.0,1.0,1.0,155.0,11.05,7.129032258064516,0.99046,0.97095,0.980705,160.0,6.5,4.0625,0.36609,0.36609,0.36609,62.67073176949235,3.728620767593384,3.9644083976745605,6.3237224909135525,0.507060555050795,0.41170162165590507,0.3822985051688654,0.049557143203856166,1.231621466564418,5.961112742293571
NVDA,2019-07-31,2019,3,2019-11-14,0.04,3014000000.0,1.0,1.0,4.0,0.0284999999999999,0.0284999999999999,0.0284999999999999,0.02775,27.0,0.0284999999999999,0.031,0.02675,14.912280701754376,0.0,2.7027027027026795,2.7027027027026795,0.0,0.0,2.7027027027026795,21.700996192456305,2.0,0.0,1.0,1.0,1.0,1.0,1.0,51.898734177215175,0.5837837837837838,0.6059962033228645,-0.0201143614535629,-0.0486209552491972,0.1774774774774774,0.3258412057803844,-0.2091933807432079,-0.1750681517252123,0.1612612612612612,0.2992344973422055,-0.1713385501188079,-0.2092158440861611,7.82608696233868,2.78437805657893,11.81576128305854,21.431051909831037,0.3802083837960214,14.63671529880693,3,-1.8369701987210294e-16,-1.0,1.0,0.0,2.0,0.0,210.0,14.325,6.821428571428571,0.94168,0.94168,0.94168,205.0,8.125,3.9634146341463414,0.35633,0.36609,0.36121,61.64195905190722,5.187233924865723,5.078302383422852,2.0999928482248076,0.07534949962704335,0.2513923332764656,0.37893450240789245,0.031744072648386884,0.2997287094836686,6.021547700396901
NVDA,2019-10-31,2019,4,2020-02-13,0.05,3105000000.0,1.0,1.0,4.0,0.0413225,0.04118,0.0413625,0.040895,42.0,0.00110375,0.00505765625,-0.0023687499999999,672.8340883352205,0.3460417678484623,1.045360068468021,0.6969067123120198,0.096799564401973,0.4431762991743616,1.1431715368627036,21.732526349845177,6.0,4.0,1.0,1.0,1.0,1.0,1.0,40.35087719298247,0.5975184179914695,0.5972746230624867,0.0137346342076857,-0.0063797272458772,0.2140364482357503,0.2912139105386496,0.0365589707582728,-0.172634409984935,0.221403644823575,0.2619661322112436,0.0601423835623138,-0.1111961665564941,13.37579619271964,9.908472973671463,8.159406264598255,15.058885837634136,8.327033155283498,21.675088026979378,4,1.0,-2.4492935982947064e-16,0.0,0.0,6.0,4.0,267.5,19.2,7.177570093457944,1.00022,0.99046,0.99534,290.0,9.5,3.2758620689655173,0.2978,0.2978,0.2978,70.08057548174493,6.783199787139893,7.212532997131348,6.329361119591637,0.30854189534401616,0.339531618135413,0.2898094730691558,0.05143975798013926,0.908728020790578,5.461325578658031
NVDA,2020-04-30,2020,2,2020-08-19,0.05,3866000000.0,1.0,1.0,4.0,0.0419999999999999,0.0424999999999999,0.0419999999999999,0.038,28.0,0.0419999999999999,0.044,0.03825,13.690476190476186,-1.1764705882352953,10.526315789473676,11.842105263157888,0.0,-1.1764705882352953,10.526315789473676,21.97419488369195,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4430.011325028313,0.6357000663570007,0.6131755836223137,0.0,0.0519162825732169,0.2982747179827472,0.2470158404196805,0.0,0.1207972405052697,0.3075646980756469,0.2494485755590325,0.0,0.1463034368143857,13.173652718182485,11.3576182855645,20.185745584886412,27.55336345066176,7.146261888805395,32.387658612703646,2,-1.0,1.2246467991473532e-16,1.0,0.0,2.0,1.0,495.0,33.525,6.772727272727272,0.81486,0.8051,0.80998,485.0,8.325,1.7164948453608249,0.40511,0.41487,0.40999,49.38270080742734,12.219099044799805,12.099759101867676,0.976667285325894,0.5115515670755445,0.38531024585099294,0.37976027370295656,0.01938315544705697,1.3276355160131703,5.569830021274731
NVDA,2020-07-31,2020,3,2020-11-18,0.07,4726000000.0,1.0,1.0,4.0,0.04925,0.04925,0.04925,0.04475,30.0,0.04925,0.056,0.04825,15.73604060913707,0.0,10.05586592178772,10.05586592178772,0.0,0.0,10.05586592178772,22.134440702516088,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,19.047619047619065,0.6506493506493507,0.6298919753387054,0.0149492842923499,0.0531309326578811,0.2977272727272727,0.2770782892321293,-0.0005474452554745,0.0836908244915223,0.3168831168831169,0.2883540394644964,0.0093184188074699,0.0954794720595418,10.65989850767012,6.688771966590511,-2.818328147659042,2.7560219411910576,-0.2563856666016668,10.115456686162684,3,-1.8369701987210294e-16,-1.0,1.0,1.0,1.0,0.0,540.0,38.175,7.069444444444444,0.85388,0.83437,0.844125,537.5,9.6,1.786046511627907,0.42462,0.40511,0.414865,50.8526580778913,13.380657196044922,13.398601531982422,0.13410653658181282,0.39025344374643595,0.5679307412411605,0.5249301348229076,0.09119920510076703,0.6871497093000687,5.0594786061693044
NVDA,2020-10-31,2020,4,2021-02-24,0.08,5003000000.0,1.0,1.0,4.0,0.0413225,0.04118,0.0413625,0.040895,42.0,0.00175,0.00570390625,-0.0017224999999999,424.3660714285714,0.3460417678484623,1.045360068468021,0.6969067123120198,0.096799564401973,0.4431762991743616,1.1431715368627036,22.294866878483703,6.0,4.0,1.0,1.0,1.0,1.0,1.0,42.13197969543148,0.5884635281945163,0.6276282528894671,-0.0621858224548343,-0.0472365381624844,0.1608898085876875,0.2637916293201136,-0.1368374641395851,-0.1373849093950596,0.1683911019141231,0.2751009037371335,-0.1484920149689937,-0.1391735961615238,15.24663677173786,-2.055231038961641,3.132189671896398,6.517061094584473,-4.632816384652641,8.836948651205596,4,1.0,-2.4492935982947064e-16,0.0,0.0,6.0,4.0,575.0,39.224999999999994,6.821739130434781,0.82461,0.8051,0.814855,532.5,16.35,3.070422535211268,0.72706,0.74657,0.736815,9.577164035319168,14.102341651916504,13.270181655883789,5.900863959849001,0.28625079650544877,0.398043097524713,0.34402984183924257,0.020331971802480194,0.7191452339848112,4.566941399210555
NVDA,2021-04-30,2021,2,2021-08-18,0.1,6507000000.0,1.0,1.0,4.0,0.08175,0.0805,0.08175,0.06375,30.0,0.0819999999999999,0.0854999999999999,0.079,7.926829268292675,1.552795031055902,28.235294117647065,26.27450980392157,0.0,1.552795031055902,28.235294117647065,22.64264132087741,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4471.428571428571,0.6263224714346171,0.6229394554282753,0.0,-0.0243268792147336,0.2826914938637325,0.2560000172606063,0.0,-0.0150357788635401,0.2958104104951333,0.2692237599468766,0.0,-0.0210727063879835,3.918493669965831,-1.4785052784263553,7.141688012382708,-5.022702463227291,-2.2456880879498105,4.395397582445691,2,-1.0,1.2246467991473532e-16,1.0,0.0,3.0,2.0,200.0,11.05,5.525,0.66852,0.65876,0.66364,197.5,4.42,2.2379746835443037,0.53194,0.53194,0.53194,19.845096739195956,19.414581298828125,19.75381851196289,1.7473321104032324,0.2628818279784721,0.2555134256501656,0.3247817935920373,0.037122672744771344,1.028837632737134,4.688207086541323
